timestamp,memory_MB,cpu_percent
2025-04-22T23:53:32.405657,42.25,99.80
2025-04-22T23:53:32.510695,42.17,100.00
2025-04-22T23:53:32.615731,42.17,93.50
2025-04-22T23:53:32.720790,42.17,0.00
2025-04-22T23:53:32.825855,42.17,0.20
2025-04-22T23:53:32.931032,42.17,64.00
2025-04-22T23:53:33.036165,42.17,100.00
2025-04-22T23:53:33.141206,42.17,100.00
2025-04-22T23:53:33.246245,42.17,100.00
2025-04-22T23:53:33.349662,42.17,100.00
2025-04-22T23:53:33.454698,42.17,100.00
2025-04-22T23:53:33.557813,42.17,19.80
2025-04-22T23:53:33.661781,42.17,0.00
2025-04-22T23:53:33.766943,42.17,34.10
2025-04-22T23:53:33.867727,42.17,100.10
2025-04-22T23:53:33.972764,42.17,100.00
2025-04-22T23:53:34.077798,42.17,100.00
2025-04-22T23:53:34.182830,42.17,100.00
2025-04-22T23:53:34.287860,42.17,100.00
2025-04-22T23:53:34.392889,42.19,37.10
2025-04-22T23:53:34.497944,42.19,0.00
2025-04-22T23:53:34.603101,42.19,20.50
2025-04-22T23:53:34.708214,42.19,100.00
2025-04-22T23:53:34.810548,56.56,100.10
2025-04-22T23:53:34.915597,56.58,100.00
2025-04-22T23:53:35.020635,56.58,100.00
2025-04-22T23:53:35.125672,56.58,100.00
2025-04-22T23:53:35.230710,56.58,70.40
2025-04-22T23:53:35.335762,56.58,0.10
2025-04-22T23:53:35.440825,56.58,0.00
2025-04-22T23:53:35.546008,56.58,87.00
2025-04-22T23:53:35.651144,56.58,100.00
2025-04-22T23:53:35.756212,56.53,100.00
2025-04-22T23:53:35.861256,56.53,100.00
2025-04-22T23:53:35.966301,56.53,100.00
2025-04-22T23:53:36.071335,56.53,84.30
2025-04-22T23:53:36.176400,56.53,0.00
2025-04-22T23:53:36.281487,56.52,0.00
2025-04-22T23:53:36.384138,56.52,70.90
2025-04-22T23:53:36.489281,56.52,100.00
2025-04-22T23:53:36.594331,56.52,100.00
2025-04-22T23:53:36.697182,56.52,100.00
2025-04-22T23:53:36.802213,56.52,100.10
2025-04-22T23:53:36.907239,56.52,100.00
2025-04-22T23:53:37.012269,56.52,39.00
2025-04-22T23:53:37.117320,56.52,0.00
2025-04-22T23:53:37.222474,56.52,15.10
2025-04-22T23:53:37.327597,56.52,99.60
2025-04-22T23:53:37.432681,56.52,100.00
2025-04-22T23:53:37.537749,56.61,100.00
2025-04-22T23:53:37.642795,56.61,100.00
2025-04-22T23:53:37.747840,56.61,100.00
2025-04-22T23:53:37.852886,56.61,61.50
2025-04-22T23:53:37.957956,56.61,0.00
2025-04-22T23:53:38.063023,56.61,0.00
2025-04-22T23:53:38.168171,56.61,100.10
2025-04-22T23:53:38.273291,56.61,99.90
2025-04-22T23:53:38.378330,56.61,100.00
2025-04-22T23:53:38.483378,56.61,100.00
2025-04-22T23:53:38.588415,56.61,100.00
2025-04-22T23:53:38.693448,56.61,74.40
2025-04-22T23:53:38.798520,56.61,0.10
2025-04-22T23:53:38.903576,56.61,0.00
2025-04-22T23:53:39.008744,56.61,82.90
2025-04-22T23:53:39.113059,56.61,99.90
2025-04-22T23:53:39.218126,56.61,100.00
2025-04-22T23:53:39.323187,56.61,100.10
2025-04-22T23:53:39.426941,56.61,99.90
2025-04-22T23:53:39.532004,56.61,99.70
2025-04-22T23:53:39.637053,56.61,0.10
2025-04-22T23:53:39.742114,56.61,0.00
2025-04-22T23:53:39.847307,56.61,58.00
2025-04-22T23:53:39.952456,56.61,99.90
2025-04-22T23:53:40.054045,56.62,100.00
2025-04-22T23:53:40.156752,56.62,100.10
2025-04-22T23:53:40.261834,56.62,100.00
2025-04-22T23:53:40.366896,56.62,100.20
2025-04-22T23:53:40.471968,56.64,31.40
2025-04-22T23:53:40.577058,56.64,0.00
2025-04-22T23:53:40.682225,56.64,23.50
2025-04-22T23:53:40.783798,56.66,99.90
2025-04-22T23:53:40.886577,56.66,100.00
2025-04-22T23:53:40.991639,56.66,100.00
2025-04-22T23:53:41.096686,56.66,100.00
2025-04-22T23:53:41.201744,56.66,100.00
2025-04-22T23:53:41.306813,56.66,58.10
2025-04-22T23:53:41.411896,56.66,0.00
2025-04-22T23:53:41.516966,56.66,0.00
2025-04-22T23:53:41.622152,56.66,99.50
2025-04-22T23:53:41.723815,56.67,100.00
2025-04-22T23:53:41.828863,56.67,100.10
2025-04-22T23:53:41.933905,56.67,100.00
2025-04-22T23:53:42.038141,56.67,100.00
2025-04-22T23:53:42.138490,56.67,88.70
2025-04-22T23:53:42.243570,56.67,0.00
2025-04-22T23:53:42.348640,56.67,0.20
2025-04-22T23:53:42.453818,56.67,68.80
2025-04-22T23:53:42.558961,56.67,100.00
2025-04-22T23:53:42.664005,56.67,100.00
2025-04-22T23:53:42.769043,56.67,100.00
2025-04-22T23:53:42.872602,56.67,100.00
2025-04-22T23:53:42.977641,56.67,100.00
2025-04-22T23:53:43.082670,56.67,4.00
2025-04-22T23:53:43.187724,56.67,0.00
2025-04-22T23:53:43.292901,56.67,51.90
2025-04-22T23:53:43.394681,56.67,100.00
2025-04-22T23:53:43.499094,56.67,100.00
2025-04-22T23:53:43.604419,56.67,100.00
2025-04-22T23:53:43.709457,56.67,100.00
2025-04-22T23:53:43.814490,56.67,100.00
